License Serial Number,Premises Name,License Certificate Number,License Received Date,County ID Code
2211814,MORE PERRECAS INC,,2018-05-17T00:00:00,19
1309514,K FAMOUS DELI INC,,2018-06-18T00:00:00,1
1309599,M S WALKER INC,,2018-07-12T00:00:00,20
1309663,ABZUMI SUSHI INC,,2018-04-16T00:00:00,2
1309664,ROSEN PHILLIPS LLC,,2018-04-16T00:00:00,8
1309665,JAK DELI CORP,,2018-04-16T00:00:00,10
1309667,PRAMUKH HEALTH MARKET INC,,2018-04-16T00:00:00,14
3160698,LA DIVINA UNO INC,,2018-04-16T00:00:00,21
2211869,DOLLYS LLC,887193,2018-04-16T00:00:00,6
1309668,SUNNY STAR GROCERY INC,882969,2018-04-16T00:00:00,14
3160700,DANDY MINI MARTS INC,,2018-04-16T00:00:00,22
2211875,ABOALLRGAL CORPORATION,,2018-04-16T00:00:00,5
1309671,STONE BRIDGE FARM PIZZA AND SALAD LLC,824412,2018-04-16T00:00:00,2
2211878,CALLAMATO LLC,,2018-04-16T00:00:00,23
2211883,COSMIC CINEMAS LLC,,2018-04-16T00:00:00,24
2211885,"GROTTO GRILLE AT BEAVER MEADOWS LLC, THE",826375,2018-04-16T00:00:00,25
1309672,TEN ICHI RAMEN NY INC,824451,2018-04-16T00:00:00,14
1309673,SEASIDE WINE AND LIQUORS CORP,882924,2018-04-16T00:00:00,8
2211889,SARATOGA WASABI SUSHI INC,887247,2018-04-16T00:00:00,26
2211889,SARATOGA WASABI SUSHI INC,887247,2018-04-16T00:00:00,26
2211891,WISH THAI CUISINE INC,798207,2018-04-16T00:00:00,27
2211892,VINEYARD ELEVEN CELLARS LLC,898144,2018-04-16T00:00:00,5
1309677,TOXOTIS LLC,,2018-04-16T00:00:00,14
1309678,AGUILAR MEAT & PRODUCE INC,883111,2018-04-16T00:00:00,1
1309681,EAST OCEAN LIQUOR INC,,2018-04-16T00:00:00,14
1309682,14 OLD FULTON STREET LLC & 14-18 OLD FULTON LLC,,2018-05-03T00:00:00,14
1309683,1353 RESTAURANT CORP,,2018-04-16T00:00:00,0
1309684,MAAHES LLC,,2018-04-16T00:00:00,14
2211899,LITTLE APPLE CIDERY INC,999999,2018-04-16T00:00:00,24
2211900,LITTLE APPLE CIDERY INC,795583,2018-04-16T00:00:00,24
1309685,BRE PARK AVENUE TOWER OWNER LLC & CONVENE PARK ,,2018-04-16T00:00:00,2
2211901,BARR4 LLC,,2018-04-16T00:00:00,12
1309686,GAUTENG LLC,,2018-04-16T00:00:00,2
2211903,A DELICIOUS KITCHEN LLC,898260,2018-04-16T00:00:00,4
1309688,EL TAQUITOS CORP,,2018-04-16T00:00:00,0
1309689,GOLD ROOM BK LLC,,2018-04-16T00:00:00,14
2211904,THOMAS RAYMOND & BRENDA LEE SIMONEAU,898143,2018-04-16T00:00:00,5
1309690,BONAP GROUP LLC,883015,2018-04-16T00:00:00,2
2211905,GREENVIEW RESTAURANT LLC,887150,2018-04-16T00:00:00,28
1309691,LA ABUELITA CORP,882972,2018-04-17T00:00:00,14
1309694,VIA GARIBALDI INC,887196,2018-04-17T00:00:00,20
1309696,LUCKY 7 DELI CORP I,882966,2018-04-17T00:00:00,14
1309699,CEYLON CURRY INC,,2018-05-17T00:00:00,29
1309700,MIKO JAPANESE CORP,,2018-04-17T00:00:00,8
1309701,JUMPING BEANS 476 INC,,2018-04-17T00:00:00,8
1309703,GVI RIVERSIDE LLC,883082,2018-06-22T00:00:00,2
1309704,JESSE GOURMET DELI CORP,882960,2018-04-17T00:00:00,1
1309705,EASTSIDE BARKING DOG INC,,2018-04-17T00:00:00,2
1309708,IM NY HAMPTONS LLC,863450,2018-04-17T00:00:00,10
1309709,CHIEF'S TASTY CATERING LLC,887631,2018-04-17T00:00:00,14
1309712,739 FOOD INC,898262,2018-04-17T00:00:00,14
1309713,A MAIO HOLDINGS LTD,,2018-04-17T00:00:00,0
2211908,PIPER CELLARS LLC,898145,2018-04-17T00:00:00,5
3160702,MONROE MINI MART INC,,2018-04-17T00:00:00,16
1309714,UES COFFEE LLC,898272,2018-04-17T00:00:00,2
3160703,PARMARTER HOLDINGS LLC,826410,2018-04-17T00:00:00,17
1309716,ECC CATERING LLC,,2018-04-17T00:00:00,8
2211909,PS21 INC,898366,2018-04-17T00:00:00,24
3160705,SNUG LUCKY 7 LLC,826357,2018-04-17T00:00:00,30
1309722,W A MEADWERKS INC,898278,2018-04-17T00:00:00,10
2211910,PEARL RIVER DINER INC,,2018-04-17T00:00:00,12
3160707,FITZPATRICK HOLDINGS INC,,2018-04-17T00:00:00,30
2211912,NORTH STREET LIQUORS & WINE INC,898342,2018-04-17T00:00:00,7
1309724,AZGARDZ OF NEW YORK INC,,2018-04-17T00:00:00,0
3160710,JASHAN LLC,849229,2018-04-17T00:00:00,16
1309725,SMALL CRAFT BREWERY LLC,999999,2018-04-17T00:00:00,10
1309726,SMALL CRAFT BREWERY LLC,795580,2018-04-17T00:00:00,10
3160713,MAXWELL STATION INC,826393,2018-04-17T00:00:00,31
1309727,CHELSEA HOTEL F&B LLC,,2018-04-17T00:00:00,2
3160714,MONTANA INTERNATIONAL LLC,826330,2018-04-17T00:00:00,21
3160720,SUSHI OSAKA INC,798203,2018-04-17T00:00:00,32
3160721,GURUS CONVENIENCE CORP,849221,2018-04-17T00:00:00,21
3160724,TWWC INC,,2018-04-17T00:00:00,21
1309731,BLASK GROUP LLC,,2018-04-17T00:00:00,2
3160726,GEO MAR HOLDINGS INC,826407,2018-04-17T00:00:00,16
1309732,AMBOY TRADING CORP,883053,2018-04-17T00:00:00,29
2211916,SIP & CHIP LLC,898226,2018-04-17T00:00:00,4
1309734,BRENTWOOD DELI INC,,2018-04-17T00:00:00,10
1309737,AMSTERDAM KITCHEN LLC,,2018-04-17T00:00:00,2
1309738,"1684 SOUTH EXPRESSWAY DRIVE REALTY LLC, THE",,2018-04-18T00:00:00,10
1309740,2256 SECOND AVENUE CONVENIENCE LLC,,2018-04-18T00:00:00,2
3160727,BELLAS SICILIAN RISTORANTE LLC,,2018-04-18T00:00:00,17
1309743,AGC ENTERPRISES INC,,2018-04-18T00:00:00,8
1309744,LOK LOK STEAK HOUSE INC,824427,2018-04-18T00:00:00,1
1309747,CREST CATERERS LLC,887704,2018-04-18T00:00:00,10
1309752,NY YUPDDUK INC,824428,2018-04-18T00:00:00,1
1309755,WYCKOFF BEER GARDEN LLC,882958,2018-04-18T00:00:00,14
1309756,PARSONS MEAT & PRODUCE INC,883085,2018-04-18T00:00:00,1
1309759,HOP FARMINGDALE LLC,887212,2018-04-18T00:00:00,10
1309761,HOP WESTBURY LLC,887224,2018-04-18T00:00:00,8
1309763,ROMANA GROCERY STORE CORP,882939,2018-04-18T00:00:00,14
1309765,CONCETTINA INC,,2018-04-18T00:00:00,1
1309768,YORK STREET LESSEE DE LLC;YORK STREET LLC&HERSHA H,,2018-04-18T00:00:00,2
1309769,3 BROTHERS BURRITO LLC,,2018-04-18T00:00:00,8
2211917,SEARS & THIBAULT LLC,887025,2018-04-18T00:00:00,33
1309771,LUDO INC,826473,2018-04-18T00:00:00,1
1309772,ZUPPANYC LLC,,2018-04-18T00:00:00,14
2211919,ANGELCODY LLC,798201,2018-04-18T00:00:00,34
1309773,GRACE JY GROCERY INC,898285,2018-04-18T00:00:00,14
1309774,ARAMARK EDUCATIONAL SERVICES LLC,,2018-04-18T00:00:00,2
1309775,VILLEDA GROCERY CORP,,2018-04-18T00:00:00,8
1309777,JAS WESTBURY INC,,2018-04-18T00:00:00,8
2211920,LLAGOS INC,,2018-06-27T00:00:00,12
1309779,HENGTONG GROCERY INC,883058,2018-04-18T00:00:00,1
2211922,S & N KWIK MART INC,,2018-04-18T00:00:00,7
1309782,UDRIVE AUTO SALES INC,,2018-04-18T00:00:00,10
2211924,STS2 INC,,2018-04-18T00:00:00,7
2211925,DAVERN MANAGEMENT LLC,,2018-04-18T00:00:00,35
2211927,HARRYS GROCERY CORP,898380,2018-04-18T00:00:00,36
1309787,BEANSACK LTD,863498,2018-04-18T00:00:00,1
3160732,AMHERST STREET 269 LLC,,2018-04-18T00:00:00,21
2211932,FIVE ELEVEN PETROLEUM INC,898372,2018-04-18T00:00:00,4
3160734,ORIGINAL SOUTHERN PLATES CORP,,2018-04-18T00:00:00,37
2211934,OMNIVENTURES157 INC,887186,2018-04-18T00:00:00,36
3160736,BOXSTARR INC,,2018-04-19T00:00:00,21
1309788,INFINITY WINE & LIQUORS INC,882953,2018-04-19T00:00:00,1
2211935,BRP ENTERPRISES LLC,,2018-04-19T00:00:00,13
2211936,RAQUETTE RIVER GOLF & COUNTRY CLUB INC,898242,2018-04-19T00:00:00,33
3160738,GURUS CONVENIENCE CORP,849201,2018-04-19T00:00:00,21
3160741,ADEN MINI MART & DELI INC,849219,2018-04-19T00:00:00,21
1309790,AMOR SUPERMARKET CORP,,2018-05-24T00:00:00,0
1309793,32 SIFB LLC & 32 STAR ISLAND ASSOCIATES LLC,,2018-04-19T00:00:00,10
2211938,BREWERTON PIER LLC,826447,2018-04-19T00:00:00,25
1309799,J T S BAR AND GRILL INC,,2018-04-19T00:00:00,10
2211942,BRUNSWICK FUEL & FOOD MART INC,898328,2018-04-19T00:00:00,36
1309802,YUZU AT EAST MEADOW INC,,2018-04-19T00:00:00,8
1309805,CATRINAS ON THIRD AVENUE INC,863497,2018-04-19T00:00:00,14
1309806,OCEAN BAY PARK HOTEL ASSOCIATES INC,,2018-04-19T00:00:00,10
1309807,BMC THE BENCHMARK MANAGEMENT COMPANY LLC,,2018-04-19T00:00:00,20
2211945,100 ROUTE 17 INC,883066,2018-04-19T00:00:00,7
1309808,CONVENE AT 75 ROCK LLC,,2018-04-19T00:00:00,2
2211948,87 NEVERSINK DRIVE CORP,887207,2018-04-19T00:00:00,7
1309809,TAQUERIA SANTA FE CORP,,2018-04-19T00:00:00,1
1309809,TAQUERIA SANTA FE CORP,,2018-04-19T00:00:00,1
2211950,MUZA ENTERPRISES LLC,,2018-04-19T00:00:00,36
1309810,SANDOBAP INC,,2018-04-19T00:00:00,14
1309812,MPJIMBOS LLC,,2018-04-19T00:00:00,1
1309815,STUYVESANT ENTERTAINMENT CORPORATION,,2018-04-19T00:00:00,14
1309816,CP MAIDEN LANE LLC,,2018-04-19T00:00:00,2
1309817,BKUK 11 CORP,,2018-04-19T00:00:00,2
1309820,VALENCIA AND DAUGHTERS LLC,887685,2018-04-20T00:00:00,20
1309822,MINNESOTA LONG BEACH LLC,,2018-04-20T00:00:00,8
1309827,JACKSON 79 CORP,887623,2018-04-20T00:00:00,1
1309828,3 STAR FOOD MARKET CORP,,2018-04-20T00:00:00,2
1309830,ROY LIQUORS CORP,,2018-04-20T00:00:00,14
1309831,POUR DECISIONS LLC,,2018-04-20T00:00:00,10
1309832,TWELVE PERCENT LLC,898334,2018-04-20T00:00:00,20
1309833,13 STAR DELI AND GROCERY CORP,883116,2018-04-20T00:00:00,14
1309835,58 BURNSIDE FOOD CORP,882975,2018-04-20T00:00:00,0
1309836,NCS KENSICO INC,,2018-05-08T00:00:00,20
1309838,ZIBBER FOOD CORP,882970,2018-04-20T00:00:00,1
1309839,WEST MERRICK DELI AND GROCERY INC,883008,2018-04-20T00:00:00,8
1309842,66S FUSION INC,,2018-04-20T00:00:00,14
1309843,LA GLADYS RESTAURANT INC,,2018-04-20T00:00:00,20
2211965,POMANSKYS DISTILLERY LLC,,2018-04-20T00:00:00,38
2211966,DOBLER BREWING COMPANY LLC,801422,2018-04-20T00:00:00,3
2211967,LIQUOR UNIVERSE CORP,898333,2018-04-20T00:00:00,5
2211969,GOODIES MEDITERRANEAN GRILL & CUISINE INC,801424,2018-04-20T00:00:00,13
2211970,JAY ST PUB INC,,2018-04-20T00:00:00,19
2211971,TYSHAN L JOHNSON,,2018-04-20T00:00:00,9
2211973,BRICOLEUR VINEYARDS LLC,898191,2018-04-20T00:00:00,5
1309848,SKF THEATRE INC,,2018-04-20T00:00:00,10
1309850,66S FUSION INC,887592,2018-04-20T00:00:00,14
1309852,PALAZZO NEW YORK INC,,2018-04-20T00:00:00,1
1309855,DOTORI INC,,2018-04-20T00:00:00,1
2211975,RIO GRANDE II INC,,2018-05-24T00:00:00,13
1309858,MISI DOMINO LLC,,2018-04-20T00:00:00,14
2211977,WARWICK VALLEY WINE CO INC ,883011,2018-04-20T00:00:00,7
2211978,WARWICK VALLEY WINE CO INC,883012,2018-04-20T00:00:00,7
1309859,TASTE OF NORTH CHINA INC,824444,2018-04-20T00:00:00,1
1309863,RAIMO'S INC,,2018-04-20T00:00:00,8
1309866,GOSLING INC,,2018-04-20T00:00:00,2
1309867,JOHN'S FOOD CORP,882979,2018-04-20T00:00:00,1
1309870,KRISNYX LLC,887585,2018-04-20T00:00:00,14
1309871,SUPER STAR FARM INC,882984,2018-04-23T00:00:00,1
1309872,"REAL CHANCE INC, THE",882954,2018-04-23T00:00:00,2
1309873,HJK WINE & LIQUOR INC,883056,2018-04-23T00:00:00,10
1309875,1ST AVE GOURMET DELI LLC,882947,2018-04-23T00:00:00,2
1309876,WINE BIN LLC,,2018-04-23T00:00:00,2
1309877,SUNNYS ISLAND LLC,,2018-04-23T00:00:00,2
1309878,SORINA WINE & LIQUOR INC,883039,2018-04-23T00:00:00,10
1309881,MEHR WINES LLC,898349,2018-04-23T00:00:00,1
1309882,AB HOSPITALITY INC,824421,2018-04-23T00:00:00,2
1309883,ELAINIE DELI GROCERY CORP,883063,2018-04-23T00:00:00,0
1309886,THIRST MERCHANTS LLC,882994,2018-04-23T00:00:00,14
1309889,LA PRESUMIDA GROCERY CORP,,2018-04-23T00:00:00,0
1309892,TORRES HOSPITALITY INC,824449,2018-04-23T00:00:00,14
1309893,790 METRO GROUP INC,,2018-04-23T00:00:00,14
1309896,SEGUNDO JUNCAL ENTERPRISES CORP,882981,2018-04-23T00:00:00,1
1309896,SEGUNDO JUNCAL ENTERPRISES CORP,882981,2018-04-23T00:00:00,1
1309898,INTERNATIONAL KITCHEN LLC,883016,2018-04-23T00:00:00,2
2211982,MAIN STREET CRAFTS & DRAFTS LLC,898350,2018-04-23T00:00:00,27
1309900,DA VINE WINES INC,,2018-04-23T00:00:00,20
1309901,SNS BAR LLC,,2018-04-23T00:00:00,2
1309902,GURALA LIQUORS INC,,2018-04-23T00:00:00,10
2211986,J M KERWIN INC,887110,2018-04-23T00:00:00,13
1309904,YO SOY TU COCINA RESTAURANT INC,,2018-04-23T00:00:00,0
1309905,LEOTOM INC,887175,2018-04-23T00:00:00,10
1309907,TANYA WINE & LIQUORS INC,,2018-04-23T00:00:00,8
1309908,GOLDEN WATER KTV INC,,2018-04-23T00:00:00,1
1309910,SABAA DELI GROCERY INC,,2018-04-23T00:00:00,0
1309913,MAVELYN DELI GROCERY CORP,882996,2018-04-24T00:00:00,0
1309914,WEBSTER AVE ENTERPRISES INC,,2018-04-24T00:00:00,0
1309916,DIVINO NINO BB DELI CORP,882995,2018-04-24T00:00:00,0
1309917,ROJO GROUP LLC,,2018-04-24T00:00:00,14
1309918,ZOKKON OF HAMPTON LLC,863488,2018-04-24T00:00:00,10
1309919,ACOCELLA FOOD GROUP INC,,2018-04-24T00:00:00,1
1309920,CHELSEA FOOD PLACE LLC,882998,2018-04-24T00:00:00,2
1309923,QUINCY AMUSEMENTS INC,887646,2018-04-24T00:00:00,20
1309925,CIBO 2621 LLC,887643,2018-04-24T00:00:00,1
1309926,E D U DELI GROCERY CORP,883047,2018-04-24T00:00:00,0
1309927,RESERVE BEACH INC,,2018-04-24T00:00:00,8
1309929,ILILI BOX CANAL STREET LLC,824418,2018-04-24T00:00:00,2
1309930,MASA SUSHI AND LOUNGE INC,887600,2018-04-24T00:00:00,8
1309931,CHECHES BAR INC,,2018-04-24T00:00:00,8
1309935,HCM GROUP INC,,2018-04-24T00:00:00,2
1309936,TU MUNDO DELI GROCERY CORP,882997,2018-04-24T00:00:00,0
1309940,DADDY O DELI PLUS CORP,,2018-04-24T00:00:00,8
1309942,TMCD INC,,2018-04-24T00:00:00,29
1309943,MALA & SONS GROCERY CORP,,2018-04-24T00:00:00,1
1309945,STONY BROOK FINE WINE & SPIRITS LLC,,2018-04-24T00:00:00,10
3160743,ISMAEL AGUIRRE ENTERPRISES CORP,,2018-04-24T00:00:00,16
1309946,1949 FOOD CORP,882993,2018-04-24T00:00:00,14
3160745,ALCHEMY WINE SHOP INC,,2018-04-24T00:00:00,21
3160747,YOUNG ENTERPRISES OF MEDINA LLC,826450,2018-04-24T00:00:00,39
1309947,CHARLIE STORE CORP,,2018-04-24T00:00:00,0
3160748,HAMLET GRILL CORP,,2018-04-24T00:00:00,40
2211991,RIVER HENS LLC,,2018-04-24T00:00:00,27
2211992,RIVER HENS LLC,,2018-04-24T00:00:00,27
1309948,D & D TIME WARNER LLC,,2018-04-24T00:00:00,2
1309950,HIGHGATE HOTELS LP & GERBER GROUP BLUE NY LLC,,2018-04-24T00:00:00,2
1309957,EAST HAMPTON HOTEL LLC,887617,2018-04-24T00:00:00,10
2211993,MJA VINEYARDS LLC,898168,2018-04-24T00:00:00,5
1309959,ISLAND TIME HOSPITALITY GROUP LLC,,2018-04-25T00:00:00,10
3160752,ARIEL CLARK,849212,2018-04-25T00:00:00,41
2211994,NORTH COUNTRY RETAIL USA INC,,2018-04-25T00:00:00,42
1309962,OAK TUSCAN TRUFFLE LOUNGE LLC,,2018-04-25T00:00:00,2
2211996,NJNV LLC,,2018-04-25T00:00:00,42
1309963,LB WESTCHESTER LLC,,2018-04-25T00:00:00,20
3160754,WELLNESS PARK PHARMACY INC,849249,2018-04-25T00:00:00,31
2211998,KENT COUNTRYSIDE INN INC,,2018-04-25T00:00:00,6
1309965,BAHN MI 119 23RD LLC,,2018-04-25T00:00:00,2
3160755,MANGA LLC,,2018-04-25T00:00:00,21
2211999,FOSTERS AT THE FAIR LLC,,2018-04-25T00:00:00,9
1309967,GLO 718 CORP,,2018-04-25T00:00:00,0
2212001,"GREENHOUSES HOTEL LLC, THE",887185,2018-04-25T00:00:00,23
1309969,PAUL & GUS LLC,,2018-04-25T00:00:00,1
2212003,TROY MINI MARKET LLC,898375,2018-04-25T00:00:00,36
1309971,614 MELROSE RESTAURANT CORP,,2018-04-25T00:00:00,0
2212006,GREEN'S LONG RIVER INN LLC,,2018-04-25T00:00:00,43
2212007,BEER & CIGAR OUTLET INC,,2018-04-25T00:00:00,7
1309976,HAUPPAUGE WINE & LIQUOR SUPER STORE INC ,898336,2018-04-25T00:00:00,10
1309978,EL PATRON ENTERPRISES INC,,2018-04-25T00:00:00,1
1309981,PONYBOY BAR LLC,,2018-04-25T00:00:00,14
2212009,VALCOUR CONVENIENCE LLC,,2018-04-25T00:00:00,42
1309982,DONG XING INC,,2018-04-25T00:00:00,14
3160757,PORTLAND & NORTON INC,,2018-04-25T00:00:00,16
1309983,205 SB FRUITS & VEGETABLES CORP,,2018-04-25T00:00:00,1
1309986,188 ALLEN ST INC,,2018-05-24T00:00:00,2
1309986,188 ALLEN ST INC,,2018-05-24T00:00:00,2
1309987,DUBAI DISCOUNT GROCERY INCORPORATED,849224,2018-04-25T00:00:00,14
1309988,LOS BROTHERS DELI GROCERY CORP,882985,2018-04-25T00:00:00,14
2212016,HIGLEY HOOCH LLC,898378,2018-04-25T00:00:00,33
1309989,FLAME WEST INC,,2018-04-25T00:00:00,2
2212017,CAN AM SPEEDWAY LLC,,2018-04-25T00:00:00,27
2212019,"STABLES AT WINDY POINT LLC, THE",826463,2018-04-25T00:00:00,33
2212021,VICTORO LLC,,2018-04-25T00:00:00,44
1309992,VINO BUENO & LIQUEUR LLC,,2018-04-26T00:00:00,14
3160760,C17 THE SHOPS ITHACA LLC,,2018-04-26T00:00:00,32
1309993,SNP DELI INC,883102,2018-04-26T00:00:00,20
1309995,TIPSY SHANGHAI RESTAURANT MANAGEMENT INC,887668,2018-04-26T00:00:00,2
1309996,GAYA ART HALL INC,,2018-04-26T00:00:00,1
1309997,IMPERIO MEXICAN RESTAURANT & BAR CORP,,2018-04-26T00:00:00,0
1309998,LESSING'S INC,863408,2018-04-26T00:00:00,10
1309999,A/S CANAAN INC,824436,2018-04-26T00:00:00,1
2212024,1568 ROUTE 17B HOSPITALITY CORP,,2018-04-26T00:00:00,38
3160761,FREDS FOOD SERVICE INC,826391,2018-04-26T00:00:00,45
1310010,S BIG SWING LLC,887603,2018-04-26T00:00:00,2
2212026,215 MAIN VENTURES LLC,883087,2018-04-26T00:00:00,24
1310014,ROCKAWAY BEACH MART INC,,2018-05-11T00:00:00,1
2212028,259 ROUTE 17B HOSPITALITY CORP,,2018-05-11T00:00:00,38
1310016,183 FOOD MARKET CORP,,2018-04-26T00:00:00,0
1310019,2358 FOOD CORP,,2018-04-26T00:00:00,0
1310022,VILLAGE SUPER MARKET OF NY LLC,882992,2018-04-26T00:00:00,0
2212033,"CASANA T HOUSE LLC, THE",898358,2018-04-26T00:00:00,24
1310038,95 EVERGREEN LLC,,2018-04-27T00:00:00,14
1310039,1412 K BROADWAY CAFE INC,,2018-04-27T00:00:00,2
1310041,CHUAN WORLD INC,801439,2018-04-27T00:00:00,14
3160762,ARBOR AT THE PORT LLC,,2018-04-27T00:00:00,16
3160764,G J C 3 INC,,2018-04-27T00:00:00,16
3160766,NDAIZEYE ESPOIR,,2018-04-27T00:00:00,16
1310044,VIDIGAL NYC LLC,,2018-07-11T00:00:00,2
1310046,SAG PIZZA LLC,,2018-04-27T00:00:00,10
1310047,FRANK MAC'S PLACE LLC,887663,2018-04-30T00:00:00,2
1310050,GAZALAS 1 INC,887684,2018-04-30T00:00:00,2
1310051,RT FUEL INC,898356,2018-04-30T00:00:00,29
1310054,LEXINGTON FRESH FARM INC,,2018-04-30T00:00:00,2
1310057,EMMA'S TORCH LTD,824441,2018-04-30T00:00:00,14
1310060,USEF CONVENIENCE STORE CORP,,2018-04-30T00:00:00,1
1310061,OFF 179 STREET ENTERPRISE INC,,2018-04-30T00:00:00,1
1310062,TTBEL HOLDINGS INC,887690,2018-04-30T00:00:00,2
1310063,DNCY INC,,2018-04-30T00:00:00,1
1310064,BERRY & WHITE BILLIARDS LLC,,2018-04-30T00:00:00,14
1310065,EL SAZON DELI GROCERY INC,,2018-04-30T00:00:00,14
2212048,GREAT SACANDAGA GOLF MANAGEMENT LLC,887181,2018-04-30T00:00:00,46
